object_id,utility_id,company_name,utility_type,electric_type,service_class,shape_area,shape_length
433,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,37090127.28585053,37639.41981479454
434,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,4756339.789090481,10565.71795692001
435,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,74150.66258051882,1077.8038408582806
436,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,104262.05527855914,1227.7015363392509
437,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,1668950.1259780957,5147.934861459177
438,3200.0,Taylor County R.E.C.C.,200,RECC,RECC Taylor County R.E.C.C.,2892985.089021273,7998.2794132117015
439,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,143347.97794548454,1515.731670527508
440,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,34443.646189983025,781.1224596679007
441,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,38901.289946155106,812.753898180164
442,2000100.0,Kenergy Corp,200,RECC,RECC Kenergy Corp,1076272598.258293,191265.32492636866
443,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,981724.9450882137,3934.083199709214
444,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,5903220.479962927,10785.958641198049
445,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,241926.3698065686,1963.725122148748
446,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,137157957.29152375,89533.0887264134
447,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,7001594.601793608,16849.632437183172
448,1500.0,Farmers R.E.C.C.,200,RECC,RECC Farmers R.E.C.C.,332685.2141399578,2364.0839873222126
449,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,3417644408.4244843,664159.7806546724
450,1500.0,Farmers R.E.C.C.,200,RECC,RECC Farmers R.E.C.C.,325516.159369478,2336.01326661997
451,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,524689229.28523123,176246.1067104088
452,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,58941360.30732422,53104.4168530642
453,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,535443845.8139247,167791.77426875924
454,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,159720933.6573165,54421.329264699816
455,0.0,Providence Electric & Gas Dept.,0,Municipal,Municipal,85107271.09660149,32703.465577574443
456,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,48616234.52096645,47626.846288529276
